repayment_period,date_disbursed,date_repaid,loan_id,borrower_id,loan_amount
1,2020-01-09,2020-02-09,162,162,7758.217499999999
1,2020-02-13,2020-03-13,163,163,10586.448149999998
1,2020-01-04,2020-02-04,164,164,8606.577
2,2020-01-12,2020-03-12,165,165,13502.7026
1,2020-03-27,2020-04-27,166,166,8403.255
3,2020-01-03,2020-04-03,167,167,9869.923499999999
1,2020-03-27,2020-04-27,168,168,9603.204999999998
1,2020-03-18,2020-04-18,169,169,10556.367
2,2020-02-15,2020-04-15,170,170,9178.845
1,2020-01-12,2020-02-12,171,171,7246.585599999999
1,2020-01-14,2020-02-14,172,172,15102.915749999998
1,2020-01-25,2020-02-25,173,173,9950.108999999999
2,2020-01-29,2020-03-29,174,174,11587.3455
1,2020-01-24,2020-02-24,175,175,9830.989499999998
1,2020-03-15,2020-04-15,176,176,5974.7210000000005
1,2020-03-22,2020-04-22,177,177,8777.969
2,2020-02-02,2020-04-02,178,178,3677.4862499999995
2,2020-02-04,2020-04-04,179,179,13311.758624999999
1,2020-01-11,2020-02-11,180,180,6578.957625
3,2020-03-11,2020-06-11,181,181,5776.188500000001
2,2020-02-13,2020-04-13,182,182,12363.914
1,2020-03-19,2020-04-19,183,183,14268.770250000001
2,2020-01-13,2020-03-13,184,184,10416.570249999999
1,2020-03-22,2020-04-22,185,185,9176.122857142856
1,2020-02-21,2020-03-21,186,186,10392.597
1,2020-03-19,2020-04-19,187,187,11884.2945
1,2020-02-02,2020-03-02,188,188,15104.76975
1,2020-02-20,2020-03-20,189,189,5674.1155
1,2020-01-22,2020-02-22,190,190,9564.065
1,2020-01-05,2020-02-05,191,191,13491.837571428572
1,2020-03-09,2020-04-09,192,192,8705.780714285715
1,2020-03-02,2020-04-02,193,193,5252.356249999999
1,2020-02-05,2020-03-05,194,194,9611.6304
1,2020-02-16,2020-03-16,195,195,11844.794
1,2020-01-16,2020-02-16,196,196,11196.12942857143
2,2020-02-02,2020-04-02,197,197,10269.645899999998
3,2020-02-07,2020-05-07,198,198,10578.877649999999
1,2020-03-12,2020-04-12,199,199,6642.9129
1,2020-02-09,2020-03-09,200,200,8313.221228571429
1,2020-03-10,2020-04-10,201,201,11972.788666666665
1,2020-03-11,2020-04-11,202,202,10456.920499999998
1,2020-03-15,2020-04-15,203,203,8651.7837
1,2020-02-19,2020-03-19,204,204,9347.6105
1,2020-03-17,2020-04-17,205,205,12655.519875
1,2020-02-22,2020-03-22,206,206,7337.853899999999
2,2020-02-13,2020-04-13,207,207,7312.7425
1,2020-01-17,2020-02-17,208,208,9835.634800000002
1,2020-01-13,2020-02-13,209,209,14247.063000000002
3,2020-03-24,2020-06-24,210,210,12440.384142857141
1,2020-01-28,2020-02-28,211,211,7199.711035714286
3,2020-02-09,2020-05-09,212,212,8479.153124999999
1,2020-01-08,2020-02-08,213,213,9544.044375
1,2020-03-19,2020-04-19,214,214,8630.576000000001
1,2020-03-02,2020-04-02,215,215,9600.90957142857
1,2020-02-05,2020-03-05,216,216,7020.0422499999995
1,2020-02-13,2020-03-13,217,217,9050.609999999999
1,2020-01-24,2020-02-24,218,218,7932.647999999998
1,2020-01-06,2020-02-06,219,219,11868.432499999999
1,2020-01-19,2020-02-19,220,220,7375.253199999999
1,2020-02-13,2020-03-13,221,221,10335.833699999997
1,2020-02-06,2020-03-06,222,222,8320.134
1,2020-02-06,2020-03-06,223,223,10077.4685
1,2020-02-01,2020-03-01,224,224,10123.811142857141
1,2020-01-27,2020-02-27,225,225,9535.007228571429
2,2020-02-10,2020-04-10,226,226,6029.4655
1,2020-03-27,2020-04-27,227,227,8060.6152
1,2020-02-06,2020-03-06,228,228,10935.870499999999
1,2020-01-30,2020-02-29,229,229,10109.089499999998
1,2020-02-05,2020-03-05,230,230,6650.607000000001
2,2020-02-26,2020-04-26,231,231,11366.256000000001
1,2020-02-25,2020-03-25,232,232,14235.063499999998
1,2020-01-15,2020-02-15,233,233,8691.110571428571
1,2020-01-17,2020-02-17,234,234,5944.7480000000005
1,2020-03-11,2020-04-11,235,235,10491.476999999999
1,2020-03-17,2020-04-17,236,236,9353.35275
3,2020-01-03,2020-04-03,237,237,7589.797049999999
1,2020-01-07,2020-02-07,238,238,7967.12725
1,2020-03-14,2020-04-14,239,239,11871.471
1,2020-01-19,2020-02-19,240,240,9574.983
1,2020-02-29,2020-03-29,241,241,12770.660999999998
1,2020-03-12,2020-04-12,242,242,8817.932999999999
1,2020-01-29,2020-02-29,243,243,9697.5015
1,2020-03-12,2020-04-12,244,244,10371.337800000001
2,2020-03-01,2020-05-01,245,245,10244.524200000002
1,2020-01-26,2020-02-26,246,246,13472.32275
1,2020-01-27,2020-02-27,247,247,8944.2831
1,2020-02-16,2020-03-16,248,248,12418.59964285714
1,2020-03-05,2020-04-05,249,249,11359.458
1,2020-02-26,2020-03-26,250,250,11863.220699999998
1,2020-03-16,2020-04-16,251,251,8403.976
1,2020-02-06,2020-03-06,252,252,8750.921199999999
1,2020-02-21,2020-03-21,253,253,13493.515
2,2020-03-16,2020-05-16,254,254,10925.210000000001
1,2020-02-09,2020-03-09,255,255,9431.2465
1,2020-03-31,2020-04-30,256,256,13693.59765
1,2020-03-16,2020-04-16,257,257,7302.2262
1,2020-02-05,2020-03-05,258,258,13251.13025
1,2020-03-15,2020-04-15,259,259,5866.69975
2,2020-03-23,2020-05-23,260,260,7525.3859999999995
3,2020-03-08,2020-06-08,261,261,13019.354499999998
1,2020-02-03,2020-03-03,262,262,14941.224142857141
3,2020-01-18,2020-04-18,263,263,9618.9331
1,2020-03-22,2020-04-22,264,264,12062.51025
3,2020-02-04,2020-05-04,265,265,6886.065
1,2020-03-10,2020-04-10,266,266,7330.63875
1,2020-01-02,2020-02-02,267,267,9714.094799999999
1,2020-03-02,2020-04-02,268,268,9152.138571428573
1,2020-02-03,2020-03-03,269,269,8248.039885714286
1,2020-01-19,2020-02-19,270,270,8627.151249999999
1,2020-01-19,2020-02-19,271,271,11825.507249999999
1,2020-02-24,2020-03-24,272,272,8792.26025
1,2020-03-13,2020-04-13,273,273,13000.0935
2,2020-03-18,2020-05-18,274,274,14484.684
1,2020-02-26,2020-03-26,275,275,9224.7315
3,2020-01-05,2020-04-05,276,276,6927.897714285714
1,2020-01-14,2020-02-14,277,277,10030.526249999997
1,2020-03-16,2020-04-16,278,278,11076.877499999999
1,2020-01-30,2020-02-29,279,279,10765.271599999998
1,2020-02-23,2020-03-23,280,280,9935.792000000001
1,2020-03-04,2020-04-04,281,281,11071.933500000001
1,2020-01-17,2020-02-17,282,282,10477.262999999999
2,2020-02-16,2020-04-16,283,283,12888.9668
1,2020-01-30,2020-02-29,284,284,9860.19
2,2020-01-25,2020-03-25,285,285,7523.6865
3,2020-02-25,2020-05-25,286,286,12432.239785714286
1,2020-03-15,2020-04-15,287,287,6260.185499999999
3,2020-03-17,2020-06-17,288,288,9154.1765
2,2020-02-22,2020-04-22,289,289,11158.04517857143
1,2020-03-16,2020-04-16,290,290,8329.88957142857
1,2020-01-02,2020-02-02,291,291,10079.0856
1,2020-03-18,2020-04-18,292,292,10889.9016
1,2020-03-19,2020-04-19,293,293,13162.658400000002
1,2020-01-24,2020-02-24,294,294,9731.5945
1,2020-01-04,2020-02-04,295,295,9191.72
2,2020-03-05,2020-05-05,296,296,10988.039999999999
1,2020-02-18,2020-03-18,297,297,10186.699999999999
1,2020-03-05,2020-04-05,298,298,9676.2732
1,2020-03-08,2020-04-08,299,299,6767.563499999999
1,2020-02-06,2020-03-06,300,300,4072.85175
1,2020-01-20,2020-02-20,301,301,10950.1875
1,2020-02-29,2020-03-29,302,302,9044.800799999999
1,2020-01-18,2020-02-18,303,303,9572.511
1,2020-02-09,2020-03-09,304,304,5261.0031
1,2020-03-10,2020-04-10,305,305,9525.882899999999
1,2020-01-06,2020-02-06,306,306,12672.240085714286
2,2020-01-19,2020-03-19,307,307,11751.115499999998
2,2020-02-11,2020-04-11,308,308,12556.420999999998
1,2020-02-13,2020-03-13,309,309,10250.28705
1,2020-04-01,2020-05-01,310,310,8276.28175
1,2020-03-17,2020-04-17,311,311,9352.160892857142
1,2020-02-07,2020-03-07,312,312,9641.1605
1,2020-03-05,2020-04-05,313,313,10949.080249999999
1,2020-03-02,2020-04-02,314,314,12210.134999999998
1,2020-02-14,2020-03-14,315,315,11540.866750000001
2,2020-01-27,2020-03-27,316,316,13369.348499999998
1,2020-03-22,2020-04-22,317,317,6989.008349999999
1,2020-03-21,2020-04-21,318,318,8147.505999999999
1,2020-03-06,2020-04-06,319,319,7425.4245
1,2020-02-19,2020-03-19,320,320,8955.953
2,2020-01-06,2020-03-06,321,321,7185.460249999999
1,2020-03-01,2020-04-01,322,322,11190.499375
1,2020-01-29,2020-02-29,323,323,8659.313
1,2020-02-22,2020-03-22,324,324,15004.907571428568
2,2020-02-24,2020-04-24,325,325,10072.9365
2,2020-01-31,2020-03-31,326,326,13530.595000000001
3,2020-01-04,2020-04-04,327,327,8295.568500000001
2,2020-03-31,2020-05-31,328,328,7803.7435
1,2020-01-05,2020-02-05,329,329,10525.606785714286
3,2020-01-20,2020-04-20,330,330,9797.463
3,2020-03-22,2020-06-22,331,331,10418.32125
3,2020-01-06,2020-04-06,332,332,6708.7299
1,2020-02-22,2020-03-22,333,333,10149.723
1,2020-01-31,2020-02-29,334,334,8853.3135
1,2020-03-18,2020-04-18,335,335,13968.757
1,2020-01-23,2020-02-23,336,336,8647.18842857143
1,2020-02-08,2020-03-08,337,337,6225.036749999999
2,2020-02-02,2020-04-02,338,338,9268.3932
1,2020-01-12,2020-02-12,339,339,11717.254249999998
1,2020-02-07,2020-03-07,340,340,9883.8285
1,2020-02-18,2020-03-18,341,341,9083.157999999998
1,2020-02-23,2020-03-23,342,342,7811.005
2,2020-01-18,2020-03-18,343,343,10428.269333333332
1,2020-03-03,2020-04-03,344,344,9546.9155
1,2020-01-30,2020-02-29,345,345,11490.010499999999
3,2020-03-09,2020-06-09,346,346,10938.393999999998
1,2020-01-24,2020-02-24,347,347,8145.3636
1,2020-01-22,2020-02-22,348,348,14482.649749999999
1,2020-03-24,2020-04-24,349,349,12144.7815
2,2020-01-01,2020-03-01,350,350,10456.56
1,2020-03-16,2020-04-16,351,351,13313.59975
2,2020-03-09,2020-05-09,352,352,10082.051999999998
1,2020-01-11,2020-02-11,353,353,9197.561571428572
2,2020-03-28,2020-05-28,354,354,11340.686249999999
3,2020-01-31,2020-04-30,355,355,11125.982750000001
1,2020-01-09,2020-02-09,356,356,10010.41035
2,2020-03-21,2020-05-21,357,357,9825.753666666666
1,2020-02-15,2020-03-15,358,358,11621.283999999998
1,2020-01-04,2020-02-04,359,359,7096.670571428572
3,2020-03-31,2020-06-30,360,360,6355.821
1,2020-02-23,2020-03-23,361,361,10732.291
1,2020-02-12,2020-03-12,362,362,10232.877107142858
2,2020-03-09,2020-05-09,363,363,8614.260800000002
1,2020-03-20,2020-04-20,364,364,10870.0535
2,2020-01-22,2020-03-22,365,365,5991.201
1,2020-01-13,2020-02-13,366,366,9736.7445
3,2020-02-15,2020-05-15,367,367,9676.195950000001
2,2020-03-19,2020-05-19,368,368,10038.792
1,2020-03-16,2020-04-16,369,369,7861.1145
3,2020-03-15,2020-06-15,370,370,9282.771999999999
1,2020-01-24,2020-02-24,371,371,11105.151
1,2020-02-09,2020-03-09,372,372,7268.9675
1,2020-01-18,2020-02-18,373,373,11265.59925
1,2020-01-30,2020-02-29,374,374,8979.0765
1,2020-02-04,2020-03-04,375,375,7080.151333333335
1,2020-03-14,2020-04-14,376,376,12876.8025
1,2020-03-19,2020-04-19,377,377,10701.288000000002
3,2020-03-19,2020-06-19,378,378,12013.919999999998
3,2020-01-25,2020-04-25,379,379,6873.138500000001
1,2020-02-29,2020-03-29,380,380,9329.482499999998
1,2020-02-28,2020-03-28,381,381,9854.113
1,2020-02-29,2020-03-29,382,382,9832.853799999999
1,2020-03-05,2020-04-05,383,383,9505.046
3,2020-03-30,2020-06-30,384,384,8868.7738
1,2020-02-02,2020-03-02,385,385,4885.393
3,2020-03-07,2020-06-07,386,386,10207.6605
3,2020-02-04,2020-05-04,387,387,7305.274999999999
1,2020-03-14,2020-04-14,388,388,10092.78975
1,2020-01-10,2020-02-10,389,389,11755.081
2,2020-01-26,2020-03-26,390,390,13644.512999999999
3,2020-03-23,2020-06-23,391,391,13939.978799999999
1,2020-03-24,2020-04-24,392,392,9172.135285714285
1,2020-03-05,2020-04-05,393,393,13714.01225
1,2020-03-09,2020-04-09,394,394,12688.590599999998
2,2020-02-17,2020-04-17,395,395,12209.892214285714
1,2020-02-03,2020-03-03,396,396,15303.044749999997
1,2020-02-06,2020-03-06,397,397,8798.598428571428
2,2020-03-21,2020-05-21,398,398,11803.460099999998
1,2020-02-02,2020-03-02,399,399,8698.143999999998
2,2020-03-10,2020-05-10,400,400,11641.4205
2,2020-01-04,2020-03-04,401,401,9921.474999999999
1,2020-01-12,2020-02-12,402,402,11672.166
1,2020-03-14,2020-04-14,403,403,12769.548599999998
1,2020-01-17,2020-02-17,404,404,11582.664149999999
1,2020-02-16,2020-03-16,405,405,8858.478214285715
3,2020-02-10,2020-05-10,406,406,11437.750875
3,2020-03-10,2020-06-10,407,407,10963.814399999997
1,2020-01-30,2020-02-29,408,408,9507.38925
2,2020-02-13,2020-04-13,409,409,9540.8488
1,2020-03-15,2020-04-15,410,410,14052.481285714286
1,2020-02-15,2020-03-15,411,411,5367.947999999999
1,2020-01-20,2020-02-20,412,412,10249.236449999999
2,2020-01-17,2020-03-17,413,413,7819.461299999999
1,2020-01-17,2020-02-17,414,414,14042.01575
1,2020-01-26,2020-02-26,415,415,10952.752199999999
1,2020-01-23,2020-02-23,416,416,11376.968
1,2020-02-15,2020-03-15,417,417,11390.424214285715
2,2020-03-24,2020-05-24,418,418,8782.4598
1,2020-02-09,2020-03-09,419,419,9333.190499999999
1,2020-01-26,2020-02-26,420,420,8585.1015
1,2020-02-13,2020-03-13,421,421,9690.549
1,2020-01-31,2020-02-29,422,422,12893.952000000001
2,2020-03-05,2020-05-05,423,423,9297.7894
1,2020-01-16,2020-02-16,424,424,12483.7545
3,2020-03-19,2020-06-19,425,425,8309.998800000001
1,2020-02-22,2020-03-22,426,426,13240.032000000001
1,2020-02-23,2020-03-23,427,427,6402.0165
1,2020-02-26,2020-03-26,428,428,10423.2395
3,2020-02-02,2020-05-02,429,429,9978.073499999999
1,2020-01-12,2020-02-12,430,430,8502.443999999998
3,2020-03-26,2020-06-26,431,431,3980.1054
1,2020-02-07,2020-03-07,432,432,10906.007857142858
1,2020-02-19,2020-03-19,433,433,11659.386642857144
2,2020-03-08,2020-05-08,434,434,7091.743125
3,2020-03-14,2020-06-14,435,435,8821.641
1,2020-01-17,2020-02-17,436,436,3527.1577500000003
1,2020-03-18,2020-04-18,437,437,10908.472499999998
1,2020-02-01,2020-03-01,438,438,9661.9665
1,2020-01-25,2020-02-25,439,439,14861.4065
3,2020-01-27,2020-04-27,440,440,8151.914400000001
2,2020-03-08,2020-05-08,441,441,13401.639
1,2020-03-31,2020-04-30,442,442,10731.83265
1,2020-02-25,2020-03-25,443,443,7686.2204999999985
2,2020-02-10,2020-04-10,444,444,10315.722214285714
2,2020-02-06,2020-04-06,445,445,12950.852142857144
1,2020-01-17,2020-02-17,446,446,7712.331000000001
1,2020-03-13,2020-04-13,447,447,7528.352399999999
1,2020-03-09,2020-04-09,448,448,6488.92275
2,2020-01-31,2020-03-31,449,449,11001.09525
1,2020-01-18,2020-02-18,450,450,11978.9
2,2020-03-26,2020-05-26,451,451,5932.388
1,2020-04-01,2020-05-01,452,452,11779.543499999998
2,2020-01-19,2020-03-19,453,453,12314.499749999999
1,2020-01-14,2020-02-14,454,454,11551.9444
1,2020-03-12,2020-04-12,455,455,12244.399666666664
2,2020-03-31,2020-05-31,456,456,5687.840249999999
3,2020-02-27,2020-05-27,457,457,9529.56
1,2020-01-11,2020-02-11,458,458,11683.1355
1,2020-03-21,2020-04-21,459,459,10792.663714285716
1,2020-03-02,2020-04-02,460,460,13156.679250000001
1,2020-01-26,2020-02-26,461,461,7209.227499999999
1,2020-03-02,2020-04-02,462,462,11201.730666666666
2,2020-01-31,2020-03-31,463,463,8623.675
3,2020-03-01,2020-06-01,464,464,10637.994499999999
1,2020-01-18,2020-02-18,465,465,6852.825428571428
1,2020-01-26,2020-02-26,466,466,11328.315214285714
2,2020-01-24,2020-03-24,467,467,8486.337375000001
1,2020-04-01,2020-05-01,468,468,9819.2475
1,2020-03-15,2020-04-15,469,469,9770.855892857142
3,2020-02-14,2020-05-14,470,470,11497.516625
1,2020-01-03,2020-02-03,471,471,9300.076
1,2020-03-03,2020-04-03,472,472,11276.1825
1,2020-02-16,2020-03-16,473,473,14214.74675
1,2020-01-31,2020-02-29,474,474,8623.2012
1,2020-01-25,2020-02-25,475,475,6869.749799999999
3,2020-02-08,2020-05-08,476,476,12342.15525
2,2020-03-24,2020-05-24,477,477,12929.301599999997
1,2020-03-15,2020-04-15,478,478,10488.696
1,2020-01-29,2020-02-29,479,479,11414.923499999999
1,2020-02-09,2020-03-09,480,480,9676.59765
1,2020-02-02,2020-03-02,481,481,10595.0538
1,2020-03-09,2020-04-09,482,482,8906.1525
1,2020-01-06,2020-02-06,483,483,11890.49657142857
1,2020-03-07,2020-04-07,484,484,11576.2215
1,2020-01-16,2020-02-16,485,485,7415.76825
1,2020-02-09,2020-03-09,486,486,7928.569199999999
2,2020-03-09,2020-05-09,487,487,10701.41675
1,2020-01-02,2020-02-02,488,488,14972.82675
1,2020-03-24,2020-04-24,489,489,9308.130599999999
1,2020-01-31,2020-02-29,490,490,8281.67895
1,2020-01-25,2020-02-25,491,491,8581.0845
2,2020-03-29,2020-05-29,492,492,12451.95325
1,2020-02-24,2020-03-24,493,493,8285.8144
1,2020-03-11,2020-04-11,494,494,7294.666
1,2020-03-10,2020-04-10,495,495,5561.897
2,2020-03-25,2020-05-25,496,496,7976.0728
1,2020-03-03,2020-04-03,497,497,9570.553999999998
1,2020-01-25,2020-02-25,498,498,10847.98575
1,2020-01-12,2020-02-12,499,499,7636.736357142858
1,2020-01-08,2020-02-08,500,500,12178.72
3,2020-03-10,2020-06-10,501,501,8460.574499999999
1,2020-01-12,2020-02-12,502,502,7151.164928571429
3,2020-03-28,2020-06-28,503,503,6735.184714285714
1,2020-01-01,2020-02-01,504,504,11407.443125
1,2020-03-21,2020-04-21,505,505,12888.2046
1,2020-03-01,2020-04-01,506,506,11681.01885
2,2020-03-14,2020-05-14,507,507,8250.763500000001
1,2020-03-23,2020-04-23,508,508,9059.74757142857
1,2020-01-02,2020-02-02,509,509,9341.275999999998
1,2020-03-14,2020-04-14,510,510,11653.857750000001
1,2020-01-20,2020-02-20,511,511,9096.63555
1,2020-02-18,2020-03-18,512,512,15073.895499999999
1,2020-01-23,2020-02-23,513,513,10660.2219
1,2020-02-11,2020-03-11,514,514,8745.472500000002
3,2020-01-29,2020-04-29,515,515,14461.405999999997
1,2020-02-16,2020-03-16,516,516,10562.3307
1,2020-03-31,2020-04-30,517,517,9804.260999999999
